Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
68,3fb00000,3ff00000,n/a,n/a,n/a,402a0000,n/a,n/a,n/a,PASS
69,3fc00000,40100000,n/a,n/a,n/a,40700000,n/a,n/a,n/a,PASS
70,3fd00000,40300000,n/a,n/a,n/a,40960000,n/a,n/a,n/a,PASS
71,3fe00000,40500000,n/a,n/a,n/a,40b40000,n/a,n/a,n/a,PASS
72,3ff00000,40700000,n/a,n/a,n/a,40d20000,n/a,n/a,n/a,PASS
73,40000000,40900000,n/a,n/a,n/a,41200000,n/a,n/a,n/a,PASS
74,40100000,40b00000,n/a,n/a,n/a,415c0000,n/a,n/a,n/a,PASS
75,40200000,40d00000,n/a,n/a,n/a,418c0000,n/a,n/a,n/a,PASS
76,40300000,40f00000,n/a,n/a,n/a,41aa0000,n/a,n/a,n/a,PASS
77,40400000,41100000,n/a,n/a,n/a,41f00000,n/a,n/a,n/a,PASS
78,40500000,41300000,n/a,n/a,n/a,42160000,n/a,n/a,n/a,PASS
79,40600000,41500000,n/a,n/a,n/a,42340000,n/a,n/a,n/a,PASS
80,40700000,41700000,n/a,n/a,n/a,42520000,n/a,n/a,n/a,PASS
81,40800000,41900000,n/a,n/a,n/a,42a00000,n/a,n/a,n/a,PASS
82,40900000,41b00000,n/a,n/a,n/a,42dc0000,n/a,n/a,n/a,PASS
83,40a00000,41d00000,n/a,n/a,n/a,430c0000,n/a,n/a,n/a,PASS
84,40b00000,41f00000,n/a,n/a,n/a,432a0000,n/a,n/a,n/a,PASS
85,40c00000,42100000,n/a,n/a,n/a,43700000,n/a,n/a,n/a,PASS
86,40d00000,42300000,n/a,n/a,n/a,43960000,n/a,n/a,n/a,PASS
87,40e00000,42500000,n/a,n/a,n/a,43b40000,n/a,n/a,n/a,PASS
88,40f00000,42700000,n/a,n/a,n/a,43d20000,n/a,n/a,n/a,PASS
89,41000000,42900000,n/a,n/a,n/a,44200000,n/a,n/a,n/a,PASS
90,41100000,42b00000,n/a,n/a,n/a,445c0000,n/a,n/a,n/a,PASS
91,41200000,42d00000,n/a,n/a,n/a,448c0000,n/a,n/a,n/a,PASS
92,41300000,42f00000,n/a,n/a,n/a,44aa0000,n/a,n/a,n/a,PASS
93,41400000,43100000,n/a,n/a,n/a,44f00000,n/a,n/a,n/a,PASS
94,41500000,43300000,n/a,n/a,n/a,45160000,n/a,n/a,n/a,PASS
95,41600000,43500000,n/a,n/a,n/a,45340000,n/a,n/a,n/a,PASS
96,41700000,43700000,n/a,n/a,n/a,45520000,n/a,n/a,n/a,PASS
97,41800000,3f900000,n/a,n/a,n/a,41a00000,n/a,n/a,n/a,PASS
98,41900000,3fb00000,n/a,n/a,n/a,41dc0000,n/a,n/a,n/a,PASS
99,41a00000,3fd00000,n/a,n/a,n/a,420c0000,n/a,n/a,n/a,PASS
100,41b00000,3ff00000,n/a,n/a,n/a,422a0000,n/a,n/a,n/a,PASS
101,41c00000,40100000,n/a,n/a,n/a,42700000,n/a,n/a,n/a,PASS
102,41d00000,40300000,n/a,n/a,n/a,42960000,n/a,n/a,n/a,PASS
103,41e00000,40500000,n/a,n/a,n/a,42b40000,n/a,n/a,n/a,PASS
104,41f00000,40700000,n/a,n/a,n/a,42d20000,n/a,n/a,n/a,PASS
105,42000000,40900000,n/a,n/a,n/a,43200000,n/a,n/a,n/a,PASS
106,42100000,40b00000,n/a,n/a,n/a,435c0000,n/a,n/a,n/a,PASS
107,42200000,40d00000,n/a,n/a,n/a,438c0000,n/a,n/a,n/a,PASS
108,42300000,40f00000,n/a,n/a,n/a,43aa0000,n/a,n/a,n/a,PASS
109,42400000,41100000,n/a,n/a,n/a,43f00000,n/a,n/a,n/a,PASS
110,42500000,41300000,n/a,n/a,n/a,44160000,n/a,n/a,n/a,PASS
111,42600000,41500000,n/a,n/a,n/a,44340000,n/a,n/a,n/a,PASS
112,42700000,41700000,n/a,n/a,n/a,44520000,n/a,n/a,n/a,PASS
113,42800000,41900000,n/a,n/a,n/a,44a00000,n/a,n/a,n/a,PASS
114,42900000,41b00000,n/a,n/a,n/a,44dc0000,n/a,n/a,n/a,PASS
115,42a00000,41d00000,n/a,n/a,n/a,450c0000,n/a,n/a,n/a,PASS
116,42b00000,41f00000,n/a,n/a,n/a,452a0000,n/a,n/a,n/a,PASS
117,42c00000,42100000,n/a,n/a,n/a,45700000,n/a,n/a,n/a,PASS
118,42d00000,42300000,n/a,n/a,n/a,45960000,n/a,n/a,n/a,PASS
119,42e00000,42500000,n/a,n/a,n/a,45b40000,n/a,n/a,n/a,PASS
120,42f00000,42700000,n/a,n/a,n/a,45d20000,n/a,n/a,n/a,PASS
121,43000000,42900000,n/a,n/a,n/a,46200000,n/a,n/a,n/a,PASS
122,43100000,42b00000,n/a,n/a,n/a,465c0000,n/a,n/a,n/a,PASS
123,43200000,42d00000,n/a,n/a,n/a,468c0000,n/a,n/a,n/a,PASS
124,43300000,42f00000,n/a,n/a,n/a,46aa0000,n/a,n/a,n/a,PASS
125,43400000,43100000,n/a,n/a,n/a,46f00000,n/a,n/a,n/a,PASS
126,43500000,43300000,n/a,n/a,n/a,47160000,n/a,n/a,n/a,PASS
127,43600000,43500000,n/a,n/a,n/a,47340000,n/a,n/a,n/a,PASS
128,43700000,43700000,n/a,n/a,n/a,47520000,n/a,n/a,n/a,PASS
129,bc000000,3e000000,n/a,n/a,n/a,ba8c0000,n/a,n/a,n/a,PASS
130,bc800000,3e800001,n/a,n/a,n/a,bb8c0000,n/a,n/a,n/a,PASS
131,bd000000,3f000002,n/a,n/a,n/a,bc8c0000,n/a,n/a,n/a,PASS
132,bd800000,3f800003,n/a,n/a,n/a,bd8c0000,n/a,n/a,n/a,PASS
133,be000000,40000004,n/a,n/a,n/a,be8c0000,n/a,n/a,n/a,PASS
134,be800000,40800005,n/a,n/a,n/a,bf8c0000,n/a,n/a,n/a,PASS
135,bf000000,41000006,n/a,n/a,n/a,c08c0000,n/a,n/a,n/a,PASS
136,bf800000,41800007,n/a,n/a,n/a,c18c0000,n/a,n/a,n/a,PASS
137,c0000000,42000008,n/a,n/a,n/a,c28c0000,n/a,n/a,n/a,PASS
138,c0800000,42800009,n/a,n/a,n/a,c38c0000,n/a,n/a,n/a,PASS
139,c1000000,4300000a,n/a,n/a,n/a,c48c0000,n/a,n/a,n/a,PASS
140,c1800000,4380000b,n/a,n/a,n/a,c58c0000,n/a,n/a,n/a,PASS
141,c2000000,4400000c,n/a,n/a,n/a,c68c0000,n/a,n/a,n/a,PASS
142,c2800000,4480000d,n/a,n/a,n/a,c78c0000,n/a,n/a,n/a,PASS
143,c3000000,4500000e,n/a,n/a,n/a,c88c0000,n/a,n/a,n/a,PASS
144,c3800000,4580000f,n/a,n/a,n/a,c98c0000,n/a,n/a,n/a,PASS
145,c4000000,46000010,n/a,n/a,n/a,ca8c0000,n/a,n/a,n/a,PASS
146,c4800000,46800011,n/a,n/a,n/a,cb8c0000,n/a,n/a,n/a,PASS
147,c5000000,47000012,n/a,n/a,n/a,cc8c0000,n/a,n/a,n/a,PASS
148,c5800000,47800013,n/a,n/a,n/a,cd8c0000,n/a,n/a,n/a,PASS
149,c6000000,48000014,n/a,n/a,n/a,ce8c0000,n/a,n/a,n/a,PASS
150,c6800000,48800015,n/a,n/a,n/a,cf8c0000,n/a,n/a,n/a,PASS
151,c7000000,49000016,n/a,n/a,n/a,d08c0000,n/a,n/a,n/a,PASS
152,c7800000,49800017,n/a,n/a,n/a,d18c0000,n/a,n/a,n/a,PASS
153,c8000000,4a000018,n/a,n/a,n/a,d28c0000,n/a,n/a,n/a,PASS
154,c8800000,4a800019,n/a,n/a,n/a,d38c0000,n/a,n/a,n/a,PASS
155,c9000000,4b00001a,n/a,n/a,n/a,d48c0000,n/a,n/a,n/a,PASS
156,c9800000,4b80001b,n/a,n/a,n/a,d58c0000,n/a,n/a,n/a,PASS
157,ca000000,4c00001c,n/a,n/a,n/a,d68c0000,n/a,n/a,n/a,PASS
158,ca800000,4c80001d,n/a,n/a,n/a,d78c0000,n/a,n/a,n/a,PASS
159,cb000000,4d00001e,n/a,n/a,n/a,d88c0000,n/a,n/a,n/a,PASS
160,cb800000,4d80001f,n/a,n/a,n/a,d98c0000,n/a,n/a,n/a,PASS
161,cc000000,3e000000,n/a,n/a,n/a,ca8c0000,n/a,n/a,n/a,PASS
162,cc800000,3e800001,n/a,n/a,n/a,cb8c0000,n/a,n/a,n/a,PASS
163,cd000000,3f000002,n/a,n/a,n/a,cc8c0000,n/a,n/a,n/a,PASS
164,cd800000,3f800003,n/a,n/a,n/a,cd8c0000,n/a,n/a,n/a,PASS
165,ce000000,40000004,n/a,n/a,n/a,ce8c0000,n/a,n/a,n/a,PASS
166,ce800000,40800005,n/a,n/a,n/a,cf8c0000,n/a,n/a,n/a,PASS
167,cf000000,41000006,n/a,n/a,n/a,d08c0000,n/a,n/a,n/a,PASS
168,cf800000,41800007,n/a,n/a,n/a,d18c0000,n/a,n/a,n/a,PASS
169,d0000000,42000008,n/a,n/a,n/a,d28c0000,n/a,n/a,n/a,PASS
170,d0800000,42800009,n/a,n/a,n/a,d38c0000,n/a,n/a,n/a,PASS
171,d1000000,4300000a,n/a,n/a,n/a,d48c0000,n/a,n/a,n/a,PASS
172,d1800000,4380000b,n/a,n/a,n/a,d58c0000,n/a,n/a,n/a,PASS
173,d2000000,4400000c,n/a,n/a,n/a,d68c0000,n/a,n/a,n/a,PASS
174,d2800000,4480000d,n/a,n/a,n/a,d78c0000,n/a,n/a,n/a,PASS
175,d3000000,4500000e,n/a,n/a,n/a,d88c0000,n/a,n/a,n/a,PASS
176,d3800000,4580000f,n/a,n/a,n/a,d98c0000,n/a,n/a,n/a,PASS
177,d4000000,46000010,n/a,n/a,n/a,da8c0000,n/a,n/a,n/a,PASS
178,d4800000,46800011,n/a,n/a,n/a,db8c0000,n/a,n/a,n/a,PASS
179,d5000000,47000012,n/a,n/a,n/a,dc8c0000,n/a,n/a,n/a,PASS
180,d5800000,47800013,n/a,n/a,n/a,dd8c0000,n/a,n/a,n/a,PASS
181,d6000000,48000014,n/a,n/a,n/a,de8c0000,n/a,n/a,n/a,PASS
182,d6800000,48800015,n/a,n/a,n/a,df8c0000,n/a,n/a,n/a,PASS
183,d7000000,49000016,n/a,n/a,n/a,e08c0000,n/a,n/a,n/a,PASS
184,d7800000,49800017,n/a,n/a,n/a,e18c0000,n/a,n/a,n/a,PASS
185,d8000000,4a000018,n/a,n/a,n/a,e28c0000,n/a,n/a,n/a,PASS
186,d8800000,4a800019,n/a,n/a,n/a,e38c0000,n/a,n/a,n/a,PASS
187,d9000000,4b00001a,n/a,n/a,n/a,e48c0000,n/a,n/a,n/a,PASS
188,d9800000,4b80001b,n/a,n/a,n/a,e58c0000,n/a,n/a,n/a,PASS
189,da000000,4c00001c,n/a,n/a,n/a,e68c0000,n/a,n/a,n/a,PASS
190,da800000,4c80001d,n/a,n/a,n/a,e78c0000,n/a,n/a,n/a,PASS
191,db000000,4d00001e,n/a,n/a,n/a,e88c0000,n/a,n/a,n/a,PASS
192,db800000,4d80001f,n/a,n/a,n/a,e98c0000,n/a,n/a,n/a,PASS
193,3e800000,bf000000,n/a,n/a,n/a,be0c0000,n/a,n/a,n/a,PASS
194,bea00000,3f400000,n/a,n/a,n/a,be820000,n/a,n/a,n/a,PASS
195,3ec00000,bf800000,n/a,n/a,n/a,bedc0000,n/a,n/a,n/a,PASS
196,bee00000,3fc00000,n/a,n/a,n/a,bf2a0000,n/a,n/a,n/a,PASS
197,3f000000,c0000000,n/a,n/a,n/a,bf8c0000,n/a,n/a,n/a,PASS
198,bf200000,40400000,n/a,n/a,n/a,c0020000,n/a,n/a,n/a,PASS
199,3f400000,c0800000,n/a,n/a,n/a,c05c0000,n/a,n/a,n/a,PASS
200,bf600000,40c00000,n/a,n/a,n/a,c0aa0000,n/a,n/a,n/a,PASS
201,3f800000,c1000000,n/a,n/a,n/a,c10c0000,n/a,n/a,n/a,PASS
202,bfa00000,41400000,n/a,n/a,n/a,c1820000,n/a,n/a,n/a,PASS
203,3fc00000,c1800000,n/a,n/a,n/a,c1dc0000,n/a,n/a,n/a,PASS
204,bfe00000,41c00000,n/a,n/a,n/a,c22a0000,n/a,n/a,n/a,PASS
205,40000000,c2000000,n/a,n/a,n/a,c28c0000,n/a,n/a,n/a,PASS
206,c0200000,42400000,n/a,n/a,n/a,c3020000,n/a,n/a,n/a,PASS
207,40400000,c2800000,n/a,n/a,n/a,c35c0000,n/a,n/a,n/a,PASS
208,c0600000,42c00000,n/a,n/a,n/a,c3aa0000,n/a,n/a,n/a,PASS
209,40800000,bf000000,n/a,n/a,n/a,c00c0000,n/a,n/a,n/a,PASS
