Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
98,41900000,3fb00000,n/a,n/a,n/a,42100000,n/a,n/a,n/a,PASS
99,41a00000,3fd00000,n/a,n/a,n/a,42200000,n/a,n/a,n/a,PASS
100,41b00000,3ff00000,n/a,n/a,n/a,42300000,n/a,n/a,n/a,PASS
101,41c00000,40100000,n/a,n/a,n/a,42c00000,n/a,n/a,n/a,PASS
102,41d00000,40300000,n/a,n/a,n/a,42d00000,n/a,n/a,n/a,PASS
103,41e00000,40500000,n/a,n/a,n/a,42e00000,n/a,n/a,n/a,PASS
104,41f00000,40700000,n/a,n/a,n/a,42f00000,n/a,n/a,n/a,PASS
105,42000000,40900000,n/a,n/a,n/a,43800000,n/a,n/a,n/a,PASS
106,42100000,40b00000,n/a,n/a,n/a,43900000,n/a,n/a,n/a,PASS
107,42200000,40d00000,n/a,n/a,n/a,43a00000,n/a,n/a,n/a,PASS
108,42300000,40f00000,n/a,n/a,n/a,43b00000,n/a,n/a,n/a,PASS
109,42400000,41100000,n/a,n/a,n/a,44400000,n/a,n/a,n/a,PASS
110,42500000,41300000,n/a,n/a,n/a,44500000,n/a,n/a,n/a,PASS
111,42600000,41500000,n/a,n/a,n/a,44600000,n/a,n/a,n/a,PASS
112,42700000,41700000,n/a,n/a,n/a,44700000,n/a,n/a,n/a,PASS
113,42800000,41900000,n/a,n/a,n/a,45000000,n/a,n/a,n/a,PASS
114,42900000,41b00000,n/a,n/a,n/a,45100000,n/a,n/a,n/a,PASS
115,42a00000,41d00000,n/a,n/a,n/a,45200000,n/a,n/a,n/a,PASS
116,42b00000,41f00000,n/a,n/a,n/a,45300000,n/a,n/a,n/a,PASS
117,42c00000,42100000,n/a,n/a,n/a,45c00000,n/a,n/a,n/a,PASS
118,42d00000,42300000,n/a,n/a,n/a,45d00000,n/a,n/a,n/a,PASS
119,42e00000,42500000,n/a,n/a,n/a,45e00000,n/a,n/a,n/a,PASS
120,42f00000,42700000,n/a,n/a,n/a,45f00000,n/a,n/a,n/a,PASS
121,43000000,42900000,n/a,n/a,n/a,46800000,n/a,n/a,n/a,PASS
122,43100000,42b00000,n/a,n/a,n/a,46900000,n/a,n/a,n/a,PASS
123,43200000,42d00000,n/a,n/a,n/a,46a00000,n/a,n/a,n/a,PASS
124,43300000,42f00000,n/a,n/a,n/a,46b00000,n/a,n/a,n/a,PASS
125,43400000,43100000,n/a,n/a,n/a,47400000,n/a,n/a,n/a,PASS
126,43500000,43300000,n/a,n/a,n/a,47500000,n/a,n/a,n/a,PASS
127,43600000,43500000,n/a,n/a,n/a,47600000,n/a,n/a,n/a,PASS
128,43700000,43700000,n/a,n/a,n/a,47700000,n/a,n/a,n/a,PASS
129,bc000000,3e000000,n/a,n/a,n/a,bb000000,n/a,n/a,n/a,PASS
130,bc800000,3e800001,n/a,n/a,n/a,bc000000,n/a,n/a,n/a,PASS
