Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
87,40e00000,42500000,n/a,n/a,n/a,43de0000,n/a,n/a,n/a,PASS
88,40f00000,42700000,n/a,n/a,n/a,43f60000,n/a,n/a,n/a,PASS
89,41000000,42900000,n/a,n/a,n/a,441c0000,n/a,n/a,n/a,PASS
90,41100000,42b00000,n/a,n/a,n/a,444c0000,n/a,n/a,n/a,PASS
91,41200000,42d00000,n/a,n/a,n/a,447c0000,n/a,n/a,n/a,PASS
92,41300000,42f00000,n/a,n/a,n/a,44d60000,n/a,n/a,n/a,PASS
93,41400000,43100000,n/a,n/a,n/a,44dc0000,n/a,n/a,n/a,PASS
94,41500000,43300000,n/a,n/a,n/a,45460000,n/a,n/a,n/a,PASS
95,41600000,43500000,n/a,n/a,n/a,455e0000,n/a,n/a,n/a,PASS
96,41700000,43700000,n/a,n/a,n/a,45760000,n/a,n/a,n/a,PASS
97,41800000,3f900000,n/a,n/a,n/a,419c0000,n/a,n/a,n/a,PASS
98,41900000,3fb00000,n/a,n/a,n/a,41cc0000,n/a,n/a,n/a,PASS
99,41a00000,3fd00000,n/a,n/a,n/a,41fc0000,n/a,n/a,n/a,PASS
100,41b00000,3ff00000,n/a,n/a,n/a,42560000,n/a,n/a,n/a,PASS
101,41c00000,40100000,n/a,n/a,n/a,425c0000,n/a,n/a,n/a,PASS
102,41d00000,40300000,n/a,n/a,n/a,42c60000,n/a,n/a,n/a,PASS
103,41e00000,40500000,n/a,n/a,n/a,42de0000,n/a,n/a,n/a,PASS
104,41f00000,40700000,n/a,n/a,n/a,42f60000,n/a,n/a,n/a,PASS
105,42000000,40900000,n/a,n/a,n/a,431c0000,n/a,n/a,n/a,PASS
106,42100000,40b00000,n/a,n/a,n/a,434c0000,n/a,n/a,n/a,PASS
107,42200000,40d00000,n/a,n/a,n/a,437c0000,n/a,n/a,n/a,PASS
108,42300000,40f00000,n/a,n/a,n/a,43d60000,n/a,n/a,n/a,PASS
109,42400000,41100000,n/a,n/a,n/a,43dc0000,n/a,n/a,n/a,PASS
110,42500000,41300000,n/a,n/a,n/a,44460000,n/a,n/a,n/a,PASS
111,42600000,41500000,n/a,n/a,n/a,445e0000,n/a,n/a,n/a,PASS
112,42700000,41700000,n/a,n/a,n/a,44760000,n/a,n/a,n/a,PASS
113,42800000,41900000,n/a,n/a,n/a,449c0000,n/a,n/a,n/a,PASS
114,42900000,41b00000,n/a,n/a,n/a,44cc0000,n/a,n/a,n/a,PASS
115,42a00000,41d00000,n/a,n/a,n/a,44fc0000,n/a,n/a,n/a,PASS
116,42b00000,41f00000,n/a,n/a,n/a,45560000,n/a,n/a,n/a,PASS
117,42c00000,42100000,n/a,n/a,n/a,455c0000,n/a,n/a,n/a,PASS
118,42d00000,42300000,n/a,n/a,n/a,45c60000,n/a,n/a,n/a,PASS
119,42e00000,42500000,n/a,n/a,n/a,45de0000,n/a,n/a,n/a,PASS
120,42f00000,42700000,n/a,n/a,n/a,45f60000,n/a,n/a,n/a,PASS
121,43000000,42900000,n/a,n/a,n/a,461c0000,n/a,n/a,n/a,PASS
122,43100000,42b00000,n/a,n/a,n/a,464c0000,n/a,n/a,n/a,PASS
123,43200000,42d00000,n/a,n/a,n/a,467c0000,n/a,n/a,n/a,PASS
124,43300000,42f00000,n/a,n/a,n/a,46d60000,n/a,n/a,n/a,PASS
125,43400000,43100000,n/a,n/a,n/a,46dc0000,n/a,n/a,n/a,PASS
126,43500000,43300000,n/a,n/a,n/a,47460000,n/a,n/a,n/a,PASS
127,43600000,43500000,n/a,n/a,n/a,475e0000,n/a,n/a,n/a,PASS
128,43700000,43700000,n/a,n/a,n/a,47760000,n/a,n/a,n/a,PASS
129,bc000000,3e000000,n/a,n/a,n/a,ba8c0000,n/a,n/a,n/a,PASS
130,bc800000,3e800001,n/a,n/a,n/a,bb8c0001,n/a,n/a,n/a,PASS
131,bd000000,3f000002,n/a,n/a,n/a,bc8c0002,n/a,n/a,n/a,PASS
132,bd800000,3f800003,n/a,n/a,n/a,bd8c0003,n/a,n/a,n/a,PASS
133,be000000,40000004,n/a,n/a,n/a,be8c0004,n/a,n/a,n/a,PASS
134,be800000,40800005,n/a,n/a,n/a,bf8c0005,n/a,n/a,n/a,PASS
135,bf000000,41000006,n/a,n/a,n/a,c08c0006,n/a,n/a,n/a,PASS
136,bf800000,41800007,n/a,n/a,n/a,c18c0007,n/a,n/a,n/a,PASS
137,c0000000,42000008,n/a,n/a,n/a,c28c0008,n/a,n/a,n/a,PASS
138,c0800000,42800009,n/a,n/a,n/a,c38c0009,n/a,n/a,n/a,PASS
139,c1000000,4300000a,n/a,n/a,n/a,c48c000a,n/a,n/a,n/a,PASS
140,c1800000,4380000b,n/a,n/a,n/a,c58c000b,n/a,n/a,n/a,PASS
141,c2000000,4400000c,n/a,n/a,n/a,c68c000c,n/a,n/a,n/a,PASS
142,c2800000,4480000d,n/a,n/a,n/a,c78c000d,n/a,n/a,n/a,PASS
